goodreads_id,title,publication_info,number_of_rattings,number_of_reviews,book_rate,number_of_5_stars_rating,number_of_4_stars_rating,number_of_3_stars_rating,number_of_2_stars_rating,number_of_1_stars_rating,author_name,author_no_of_books,author_followers,original_title,all_contributors,number_of_editions,currently_reading,to_read,first_published_date,publisher,no_of_papers,book_type,is_translated,translator,main_genre,sub_genre
7704143,تراب الماس,2010-01-01,54850,4525,4.06,21385,20291,9323,2586,1265,أحمد مراد,8,179,تراب الماس,أحمد مراد,17,2992,35400,2019-01-01, دار الشروق,389.0,Paperback,False,,Novels,Novels
20317106,هيبتا,2014-01-01,54839,6327,3.73,19705,14357,11101,5696,3980,محمد صادق,9,9039,هيبتا,محمد صادق,9,2979,32100,2019-01-01, الرواق للنشر والتوزيع,223.0,Paperback,False,,Novels,Novels
3331756,عائد إلى حيفا,1969-01-01,20682,3713,4.36,10816,7117,2191,400,158,غسان كنفاني,73,102,عائد إلى حيفا,"غسان كنفاني,Ghassan Kanafani",18,578,20300,2019-01-01, دار العودة,76.0,Paperback,False,,Novels,Novels
7119070,أحببتك أكثر مما ينبغي,2009-01-01,52308,5540,3.57,16921,12659,11365,6281,5082,أثير عبدالله النشمي,8,143,أحببتك أكثر مما ينبغى,أثير عبدالله النشمي,13,4209,48000,2019-01-01, دار الفارابي,326.0,Paperback,False,,Novels,Novels
5664022,حوار مع صديقي الملحد,1970-01-01,33406,3138,3.89,13033,10089,5788,2422,2074,مصطفى محمود,164,21,حوار مع صديقي الملحد,مصطفى محمود,27,4588,41900,2019-01-01, دار المعارف بمصر,160.0,Paperback,False,,Philosophy,Philosophy
8239301,الطنطورية,2010-01-01,24900,4451,4.35,13668,7734,2468,596,434,رضوى عاشور,26,107,الطنطورية ,"رضوى عاشور,Radwa Ashour",22,2493,34300,2019-01-01, دار الشروق ,463.0,Paperback,False,,Novels,Novels
5295735,الحرافيش,1977-01-01,16553,2373,4.37,9350,4855,1740,420,188,Naguib Mahfouz,429,144,ملحمة الحرافيش,"Naguib Mahfouz,نجيب محفوظ",39,1156,25200,2019-01-01, دار الشروق,599.0,Paperback,False,,Novels,Novels
10706934,بيكاسو وستاربكس,2011-02-01,19630,2657,3.48,5182,5005,5162,2669,1612,ياسر حارب,7,5813,بيكاسو وستاربكس,ياسر حارب,8,1648,19300,2019-01-01, دار مدارك,175.0,Paperback,False,,Philosophy,Philosophy
3243517,رأيت رام الله,1997-01-01,15930,2915,4.18,6957,5847,2423,510,193,Mourid Barghouti,25,549, رأيت رام الله,"Mourid Barghouti,مريد البرغوثي",31,1565,25600,2019-01-01, المركز الثقافي العربي,263.0,Paperback,False,,Nonfiction,Nonfiction
2750180,لا تحزن,2003-01-01,29799,2364,4.13,14989,7684,4321,1601,1204,عائض القرني,235,4020,لا تحزن,عائض القرني,55,4154,31100,2019-01-01, مكتبة العبيكان,584.0,Paperback,False,,Philosophy,Philosophy
3338544,رحلتي من الشك إلى الإيمان,1970-01-01,23389,2177,3.98,8969,7963,4259,1410,788,مصطفى محمود,164,21,رحلتي من الشك إلى الإيمان,مصطفى محمود,19,3007,35200,1970-01-01,دار العودة - بيروت,127.0,Paperback,False,,Philosophy,Philosophy
646462._,القرآن الكريم,2019-01-01,64858,3487,4.38,47849,5047,4948,2791,4223,Anonymous,382,2964,القرآن الكريم,"Anonymous,Yaşar Nuri Öztürk (Translator)",1186,16100,67500,2019-01-01,"january 1, 650",604.0,Hardcover,True,Yaşar Nuri Öztürk,Philosophy,Philosophy
2508854._,تاكسي: حواديت المشاوير,2006-12-01,15673,1441,3.68,3435,5959,4566,1263,450,Khaled Al Khamissi,9,189,تاكسي: حواديت المشاوير,"Khaled Al Khamissi,خالد الخميسي",44,0,0,2019-01-01, دار الشروق,224.0,Paperback,False,,Nonfiction,Nonfiction
18711993,فلتغفري,2013-06-23,31806,3224,3.42,8487,7526,7845,4613,3335,أثير عبدالله النشمي,8,143,فلتغفرى,أثير عبدالله النشمي,9,2489,27600,2019-01-01, دار الفارابي للنشر والتوزيع,235.0,Paperback,False,,Novels,Novels
9753375,أرض زيكولا,2010-01-01,30868,3426,3.89,10944,10133,6423,2271,1097,عمرو عبدالحميد,7,6804,أرض زيكولا,عمرو عبدالحميد,13,1255,14400,2019-01-01, عصير الكتب للنشر والتوزيع,288.0,Paperback,False,,Novels,Novels
1220507._,شيكاجو,2007-01-01,21828,1973,3.42,4160,7001,6233,2717,1717,Alaa Al Aswany,33,1618,شيكاجو,"Alaa Al Aswany,علاء الأسواني",60,643,12200,2019-01-01, دار الشروق,456.0,Paperback,False,,Novels,Novels
18879551,كبرتُ ونسيت أن أنسى,2013-11-11,15757,2448,3.64,4529,4597,3972,1712,947,بثينة العيسى,22,25,كبرت ونسيت أن أنسى,بثينة العيسى,10,1000,17900,2019-01-01, الدار العربية للعلوم ناشرون,280.0,Paperback,False,,Novels,Novels
12415695,كخه يا بابا,2011-02-03,15144,2137,3.63,4500,4154,3869,1664,957,عبدالله المغلوث,10,4519,كخه يا بابا,عبدالله المغلوث,5,769,10900,2019-01-01, مدارك,120.0,Paperback,False,,Philosophy,Philosophy
6780650,أرض البرتقال الحزين,1962-01-01,9874,1592,4.02,3401,3879,2080,397,117,غسان كنفاني,73,102,أرض البرتقال الحزين,"غسان كنفاني,Ghassan Kanafani",20,473,13400,2019-01-01, مؤسسة الأبحاث العربية ,102.0,Paperback,False,,Novels,Novels
3831279,ڤيرتيجو,2007-08-01,25924,1792,3.7,6241,9376,7474,2033,800,أحمد مراد,8,179,ڤيرتيجو,أحمد مراد,23,1203,18200,2019-01-01, دار ميريت,402.0,Paperback,False,,Novels,Novels
6621287-com,com نسيان,2009-01-01,28807,2522,3.68,10012,7024,6376,3234,2161,Ahlam Mosteghanemi,12,4092,نسيان كوم,"Ahlam Mosteghanemi,أحلام مستغانمي",11,2931,31100,2019-01-01, دار الآداب,335.0,Paperback,False,,Novels,Novels
18039755-h-awjan,حوجن [Ḥawjan],2013-06-01,14709,1899,3.68,5657,3119,2910,1643,1380,Ibraheem Abbas,5,1876,حوجن,"Ibraheem Abbas,إبراهيم عباس,Yasser Bahjatt (Translator)",11,1154,11700,2019-01-01, يتخيلون,310.0,Paperback,True,Yasser Bahjatt,Novels,Novels
6494415,مهزلة العقل البشري,1956-04-01,13022,1687,3.96,4736,4622,2501,706,457,علي الوردي Ali Al-Wardi,40,5983,مهزلة العقل البشري,علي الوردي Ali Al-Wardi,13,2592,31800,2019-01-01, دار الوراق للنشر ,359.0,Paperback,False,,Philosophy,Philosophy
11512161,قمر على سمرقند,2004-01-01,13323,2155,3.87,4254,5041,2674,814,540,محمد المنسي قنديل,23,6478,قمر على سمرقند,"محمد المنسي قنديل,Mohamed Mansi Qandil",13,1484,23300,2019-01-01, دار الشروق,458.0,Paperback,False,,Novels,Novels
3371137,الأيام,1927-01-01,10715,1055,3.61,2840,3330,2752,1133,660,طه حسين,176,3465,الأيام,"طه حسين,Taha Hussein",1,0,0,2019-01-01, دار الشروق,239.0,Paperback,False,,Nonfiction,Nonfiction
2498952._,كليلة ودمنة,2019-01-01,8046,813,4.09,3325,2754,1470,361,136,عبد الله بن المقفع,25,635,كليلة ودمنة,"عبد الله بن المقفع,عبد الوهاب عزام (Editor),بيدباء",251,1259,12100,2019-01-01, دار الشروق,366.0,Hardcover,False,,Novels,Novels
24981611,فئران أمي حصة,2015-02-21,12961,2661,4.16,6234,3995,1747,595,390,سعود السنعوسي,5,119,فئران أمي حصة,"سعود السنعوسي,Saud Alsanousi",11,1803,21300,2019-01-01, الدار العربية للعلوم ناشرون + منشورات ضفاف,440.0,Paperback,False,,Novels,Novels
5954935,اللص والكلاب,1961-01-01,9789,1149,3.64,1845,3757,3179,790,218,Naguib Mahfouz,429,144,اللص والكلاب,"Naguib Mahfouz,نجيب محفوظ",60,305,7079,2019-01-01, دار الشروق,129.0,Paperback,False,,Novels,Novels
31938356,لأنك الله: رحلة إلى السماء السابعة,2016-01-01,27522,3787,4.27,15569,6609,3377,1164,803,علي بن جابر الفيفي,15,1789,لأنك الله: رحلة إلى السماء السابعة,علي بن جابر الفيفي,20,4086,29200,2019-01-01, دار الحضارة للنشر والتوزيع,192.0,Paperback,False,,Nonfiction,Nonfiction
25635774,خرائط التيه,2015-06-01,11135,2697,4.13,4970,3728,1619,510,308,بثينة العيسى,22,25,خرائط التيه,بثينة العيسى,5,768,15000,2019-01-01, الدار العربية للعلوم,408.0,Paperback,False,,Novels,Novels
30528544,العصبي,2016-01-01,2114,114,4.63,1606,357,75,33,43,أحمد جمال الدين رمضان,3,424,العصبى,أحمد جمال الدين رمضان,1,50,2450,2019-01-01, دار ليلى كيان كورب,165.0,Paperback,False,,Novels,Novels
30528535,انتحار فاشل,2016-07-01,2434,166,4.56,1795,367,167,60,45,أحمد جمال الدين رمضان,3,424,انتحار فاشل,أحمد جمال الدين رمضان,5,108,3777,2019-01-01, دار ليلى كيان كورب,175.0,Paperback,False,,Novels,Novels
24075208,غربة الياسمين,2015-01-01,16986,2056,3.87,5112,6550,3812,1071,441,خولة حمدي,8,142,غربة الياسمين,خولة حمدي,4,1275,16100,2019-01-01, كيان للنشر والتوزيع,407.0,Paperback,False,,Novels,Novels
3240691,واحة الغروب,2006-11-01,13786,1712,3.83,3673,5618,3264,906,325,بهاء طاهر,26,6043,واحة الغروب,بهاء طاهر,34,840,15400,2019-01-01, دار الشروق,325.0,Paperback,False,,Novels,Novels
9658269,الأرواح المتمردة,1908-01-01,8965,985,3.94,3035,3207,2038,517,168,Kahlil Gibran,1097,137,الأرواح المتمردة [El-ervahu’l Mütemerride],"Kahlil Gibran,Feyza Karagöz (Translator),جبران خليل جبران",218,577,8818,2019-01-01,  دار الكتب العلمية,158.0,Paperback,True,Feyza Karagöz,Novels,Novels
8994051,ألزهايمر,2010-08-01,10782,1647,3.64,2744,3200,3361,1119,358,Ghazi A. Algosaibi,89,852,ألزهايمر,"Ghazi A. Algosaibi,غازي عبد الرحمن القصيبي",5,315,8685,2019-01-01, بيسان للنشر والتوزيع,127.0,Paperback,False,,Novels,Novels
6219415,زمن الخيول البيضاء,2007-01-01,10094,2050,4.43,6165,2637,893,267,132,Ibrahim Nasrallah,61,5596,زمن الخيول البيضاء,"Ibrahim Nasrallah,إبراهيم نصر الله",15,581,10900,2019-01-01, الدار العربية للعلوم ناشرون,511.0,Paperback,False,,Novels,Novels
10400407,في ديسمبر تنتهي كل الأحلام,2011-01-01,22041,2351,3.29,4704,4995,6416,3779,2147,أثير عبدالله النشمي,8,143,في ديسمبر تنتهي كل الأحلام,أثير عبدالله النشمي,5,1483,21100,2019-01-01, دار الفارابي,182.0,Paperback,False,,Novels,Novels
21394850,أقوم قيلا,2014-01-01,16192,2014,3.9,6473,4502,3156,1261,800,سلطان موسى الموسى,7,4030,أقوم قيلا,سلطان موسى الموسى,2,1767,15800,2019-01-01, دار الفكر العربي,223.0,Paperback,False,,Philosophy,Philosophy
21456940-1919,1919,2014-01-01,22774,2856,3.66,5858,7613,6089,2181,1033,أحمد مراد,8,179,1919,أحمد مراد,8,2024,17400,2019-01-01, دار الشروق,446.0,Paperback,False,,Novels,Novels
2501453._,عابر سرير,2003-01-01,13882,800,3.6,3804,3853,3828,1594,803,Ahlam Mosteghanemi,12,4092,عابر سرير,"Ahlam Mosteghanemi,أحلام مستغانمي",5,852,15300,2019-01-01, دار الآداب ,319.0,Paperback,False,,Novels,Novels
6122468,ثرثرة فوق النيل,1966-01-01,8395,988,3.77,2210,3180,2124,646,235,Naguib Mahfouz,429,144,ثرثرة فوق النيل,"Naguib Mahfouz,نجيب محفوظ",52,441,9393,2019-01-01, دار الشروق,161.0,Paperback,False,,Novels,Novels
3490939,عايزة أتجوز,2008-01-01,9124,901,3.65,2326,2907,2592,948,351,غادة عبدالعال,4,1486,عايزه أتجوز,غادة عبدالعال,27,202,4729,2019-01-01, دار الشروق,176.0,Paperback,False,,Nonfiction,Nonfiction
3491072-200,حول العالم في 200 يوم,1963-01-01,11053,931,4.07,4504,3769,2014,543,223,أنيس منصور,184,7594,حول العالم في 200 يوم,أنيس منصور,9,1649,20300,2019-01-01, دار الشروق,604.0,Hardcover,False,,Nonfiction,Nonfiction
5948927,التيه,1984-01-01,4226,663,4.06,1680,1484,798,181,83,عبد الرحمن منيف,46,4370,مدن الملح,عبد الرحمن منيف,22,624,12600,2019-01-01, المؤسسة العربية للدراسات والنشر,698.0,Paperback,False,,Novels,Novels
9666241,النبطي,2010-01-01,14664,1793,3.44,2649,4613,4722,1893,787,Youssef Ziedan,40,1609,النبطي,"Youssef Ziedan,يوسف زيدان",10,661,8737,2019-01-01, دار الشروق,381.0,Paperback,False,,Novels,Novels
17524166,نادي السيارات,2013-02-04,13921,2057,3.48,2672,4667,4092,1608,882,Alaa Al Aswany,33,1618,نادي السيارات,"Alaa Al Aswany,علاء الأسواني",56,881,9830,2019-01-01, دار الشروق,644.0,Paperback,False,,Novels,Novels
3821917,دعاء الكروان,1934-01-01,4910,466,3.93,1644,1801,1060,286,119,طه حسين,176,3465,دعاء الكروان,"طه حسين,Taha Hussein",15,199,5804,1934-01-01,دار المعارف,160.0,Paperback,False,,Novels,Novels
3495961,ميرامار,1967-01-01,6563,695,3.82,1592,2756,1746,379,90,Naguib Mahfouz,429,144,ميرامار,"Naguib Mahfouz,نجيب محفوظ",68,216,7189,2019-01-01, مكتبة مصر ,284.0,Paperback,False,,Novels,Novels
6286604,وعاظ السلاطين,1954-01-01,8985,1380,4.0,3517,3109,1575,454,330,علي الوردي Ali Al-Wardi,40,5983,وعاظ السلاطين,علي الوردي Ali Al-Wardi,6,1105,16400,2019-01-01, دار كوفان للنشر,272.0,Paperback,False,,Philosophy,Philosophy
3482579,يوميات نائب في الأرياف,1937-01-01,9157,1115,3.9,2633,3734,2168,470,152,Tawfiq Al-Hakim,175,543,يوميات نائب في الأرياف,"Tawfiq Al-Hakim,توفيق الحكيم",24,300,9557,2019-01-01, دار الشروق,160.0,Paperback,False,,Novels,Novels
545425._,الرحيق المختوم,1976-01-01,20558,1834,4.6,14883,3885,1263,302,225,Safiur Rahman Mubarakpuri,26,691, الرحيق المختوم: بحث في السيرة النبوية على صاحبها أفضل الصلاة والسلام ,"Safiur Rahman Mubarakpuri,আব্দুল খালেক রহমানী (অনুবাদক),মুয়ীনুদ্দীন আহমাদ (অনুবাদক)",150,4950,28000,2019-01-01, darussalam publishers,498.0,Hardcover,False,,Nonfiction,Nonfiction
6646964,حي بن يقظان,2019-01-01,5157,866,3.83,1583,1765,1266,414,129,Ibn Tufail,18,305,حي بن يقظان ,"Ibn Tufail,Ibn Tufail,علي بو ملحم (تقديم وتعليق وشرح)",241,752,8800,2019-01-01, دار ومكتبة الهلال - بيروت,160.0,Paperback,False,,Novels,Novels
5954846,بداية ونهاية,1949-01-01,7075,670,4.08,2661,2810,1249,251,104,Naguib Mahfouz,429,144,بداية ونهاية,"Naguib Mahfouz,نجيب محفوظ",44,382,12000,2019-01-01, دار الشروق,412.0,Paperback,False,,Novels,Novels
2246958._,حياة في الإدارة,1985-01-01,13199,2105,4.49,8499,3226,1052,262,160,Ghazi A. Algosaibi,89,852,حياة في الإدارة,"Ghazi A. Algosaibi,غازي عبد الرحمن القصيبي",12,2243,15700,2019-01-01, المؤسسة العربية للدراسات والنشر ,358.0,Paperback,False,,Nonfiction,Nonfiction
2501455._,فوضى الحواس,1997-01-01,19473,1398,3.79,6416,5835,4680,1723,819,Ahlam Mosteghanemi,12,4092,فوضى الحواس,"Ahlam Mosteghanemi,أحلام مستغانمي",13,454,8740,2019-01-01, دار الآداب,375.0,Paperback,False,,Novels,Novels
3077927,ماجدولين,1832-01-01,12718,1878,3.91,4559,4126,2727,966,340,Alphonse Karr,217,144,Sous Les Tilleuls,"Alphonse Karr,مصطفى لطفي المنفلوطي (ترجمة)",76,1158,11600,2019-01-01, دار القلم,227.0,Paperback,True,مصطفى لطفي المنفلوطي,Novels,Novels
11995136,محال,2012-01-01,11235,1357,3.32,1706,3299,3829,1639,762,Youssef Ziedan,40,1609,محال,"Youssef Ziedan,يوسف زيدان",9,523,3185,2019-01-01, دار الشروق,244.0,Paperback,False,,Novels,Novels
5996777,ليالي ألف ليلة,1979-01-01,7726,1101,4.11,3194,2782,1276,338,136,Naguib Mahfouz,429,144,ليالي ألف ليلة,"Naguib Mahfouz,نجيب محفوظ",75,381,12700,2019-01-01, دار الشروق,298.0,Paperback,False,,Novels,Novels
5557442,ظل الأفعى,2006-01-01,12635,1763,2.98,1849,2666,3537,2540,2043,Youssef Ziedan,40,1609,ظل الأفعى,"Youssef Ziedan,يوسف زيدان",13,359,7811,2019-01-01, دار الشروق,170.0,Paperback,False,,Novels,Novels
10691701,قيس وليلى والذئب,2011-03-05,4790,1070,3.43,964,1370,1509,676,271,بثينة العيسى,22,25,قيس وليلى والذئب,بثينة العيسى,4,129,5852,2019-01-01, المؤسسة العربية للدراسات والنشر,132.0,Paperback,False,,Novels,Novels
3495914,حديث الصباح والمساء,1987-01-01,6883,824,3.97,2572,2275,1443,422,171,Naguib Mahfouz,429,144,حديث الصباح والمساء,"Naguib Mahfouz,نجيب محفوظ",28,501,12200,2019-01-01, مكتبة مصر,216.0,Paperback,False,,Novels,Novels
3490300,ذات,1992-01-01,5217,718,3.56,1156,1728,1497,549,287,صنع الله إبراهيم,34,2973,ذات,صنع الله إبراهيم,12,508,9650,2019-01-01, دار المستقبل العربي,352.0,Paperback,False,,Novels,Novels
2312458._,طبائع الاستبداد ومصارع الاستعباد,1902-01-01,9827,1681,4.19,4571,3279,1427,399,151,Abd al-Rahman al-Kawakibi,6,1531,طبائع الاستبداد ومصارع الاستعباد,"Abd al-Rahman al-Kawakibi,عبد الرحمن الكواكبي",62,1695,18400,2019-01-01, منشورات الجمل,157.0,Paperback,False,,Philosophy,Philosophy
23935182,أنتيخريستوس,2015-01-01,20981,2611,3.64,6979,5793,4031,2062,2116,أحمد خالد مصطفى,12,3368,أنتيخريستوس,أحمد خالد مصطفى,17,2484,22700,2019-01-01, دار الرسم بالكلمات,323.0,Paperback,False,,Novels,Novels
24324198,مثل إيكاروس,2015-01-01,10376,1576,3.78,2722,3976,2604,782,292,أحمد خالد توفيق,553,293,مثل إيكاروس,أحمد خالد توفيق,4,706,9119,2019-01-01, دار الشروق,294.0,Paperback,False,,Novels,Novels
5948912,الخبز الحافي,1973-01-01,8768,1407,3.56,2106,2854,2305,859,644,Mohamed Choukri,28,390,الخبز الحافي (Al-Khubz al-Ḥāfī),"Mohamed Choukri,محمد شكري",55,495,10500,2019-01-01, دار الساقي,228.0,Paperback,False,,Novels,Novels
3838932,عبقرية محمد,1941-01-01,8654,986,4.14,3883,2812,1413,365,181,عباس محمود العقاد,180,7173,عبقرية محمد ,عباس محمود العقاد,30,1569,16600,1941-01-01,دار نهضة مصر للطباعة والنشر,206.0,Paperback,False,,Nonfiction,Nonfiction
28590941,أماريتا,2016-01-01,17086,1579,3.94,5829,6125,3712,1060,360,عمرو عبدالحميد,7,6804,أماريتا,عمرو عبدالحميد,6,811,7939,2019-01-01, دار عصير الكتب للنشر والتوزيع,327.0,Paperback,False,,Novels,Novels
3437465,عبقرية عمر,1941-01-01,7800,738,4.18,3583,2619,1179,262,157,عباس محمود العقاد,180,7173,عبقرية عمر,عباس محمود العقاد,33,1526,17800,2019-01-01, المكتبة العصرية ,240.0,Paperback,False,,Nonfiction,Nonfiction
3120143,شقة الحرية,1994-01-01,6117,777,4.11,2672,1986,1032,288,139,Ghazi A. Algosaibi,89,852,شقة الحرية,"Ghazi A. Algosaibi,غازي عبد الرحمن القصيبي",10,595,9051,2019-01-01, رياض الريس للكتب والنشر,463.0,Mass Market Paperback,False,,Novels,Novels
3018318,جدارية,2000-01-01,5920,756,4.31,3244,1634,737,219,86,Mahmoud Darwish,185,105,جدارية,Mahmoud Darwish,17,231,9601,2019-01-01, رياض الريس للكتب والنشر,105.0,Paperback,False,,Novels,Novels
29414792,موت صغير,2016-01-01,8834,2034,4.22,4335,2819,1139,335,206,محمد حسن علوان,9,6301,موت صغير,محمد حسن علوان,14,1289,15700,2019-01-01, دار الساقي,592.0,Paperback,False,,Novels,Novels
13489517-28,28 حرف,2012-01-01,18135,1743,3.09,2931,3513,5948,3698,2045,أحمد حلمي,5,1573,28 حرف,أحمد حلمي,10,7,1425,2019-01-01, دار الشروق,152.0,Paperback,False,,Philosophy,Philosophy
6136509,خوارق اللاشعور,1952-01-01,9964,1333,3.9,3407,3440,2162,639,316,علي الوردي Ali Al-Wardi,40,5983,خوارق اللاشعور,علي الوردي Ali Al-Wardi,4,1590,17200,2019-01-01, دار الورّاق,238.0,Paperback,False,,Philosophy,Philosophy
16102159,يسمعون حسيسها,2012-10-01,11009,2105,4.32,6000,3258,1200,324,227,أيمن العتوم,29,118,يسمعون حسيسها: معايشات سجين تدمري,أيمن العتوم,17,1158,19000,2019-01-01, المؤسسة العربية للدراسات و النشر,365.0,Paperback,False,,Novels,Novels
3127736,تلك العتمة الباهرة,2001-01-01,11873,2343,4.28,5897,4012,1462,357,145,Tahar Ben Jelloun,218,2068,Cette aveuglante absence de lumière,"Tahar Ben Jelloun,بسام حجار (translator)",54,794,25800,2019-01-01, دار الساقي,223.0,Paperback,False,,Novels,Novels
16170522,صانع الظلام,2012-11-25,11343,1276,3.82,3486,3985,2628,797,447,تامر إبراهيم,34,3254,صانع الظلام,تامر إبراهيم,8,783,13800,2019-01-01, دار بلومزبري - مؤسسة قطر للنشر,336.0,Paperback,False,,Novels,Novels
4488657,رباعيات صلاح جاهين,1963-01-01,11729,748,4.4,6893,3242,1194,244,156,صلاح جاهين,30,3737,رباعيات صلاح جاهين,"صلاح جاهين,يحيى حقي (تقديم)",10,518,13300,2019-01-01, الهيئة المصرية العامة للكتاب,131.0,Paperback,False,,Philosophy,Philosophy
5948932,شرق المتوسط,1975-01-01,7793,1509,4.17,3301,2930,1203,270,89,عبد الرحمن منيف,46,4370,شرق المتوسط,عبد الرحمن منيف,18,467,10900,2019-01-01, المؤسسة العربية للدراسات والنشر,243.0,Paperback,False,,Novels,Novels
5582346,طوق الحمامة في الألفة والألاف,2019-01-01,6288,916,3.91,2100,2224,1442,373,149,ابن حزم الأندلسي,23,79,طوق الحمامة [Ṭawq al-Ḥamāmah],"ابن حزم الأندلسي,Abu Muhammad Ali ibn Hazm,نزار وجيه فلّوح (Editor)",98,1021,13500,2019-01-01, دار مكتبة الحياة ,328.0,Paperback,False,,Philosophy,Philosophy
4552604,قنديل أم هاشم,1940-01-01,5045,547,3.59,1055,1721,1598,497,174,يحيى حقي,69,1548,قنديل أم هاشم,يحيى حقي,34,133,4376,2019-01-01, دار المعارف,136.0,Paperback,False,,Novels,Novels
3014384,أثر الفراشة,2006-08-01,4650,619,4.03,1837,1584,874,255,100,Mahmoud Darwish,185,105,أثر الفراشة,"Mahmoud Darwish,محمود درويش",10,420,9329,2019-01-01, رياض الريس للكتب والنشر,284.0,Mass Market Paperback,False,,Philosophy,Philosophy
10361904,وحدها شجرة الرمان,2010-10-08,6726,1399,4.0,2424,2522,1283,317,180,Sinan Antoon,30,1987,وحدها شجرة الرمان,"Sinan Antoon,سنان أنطون",21,346,11000,2010-10-08,المؤسسة العربية للدراسات والنشر,280.0,Paperback,False,,Novels,Novels
9838115,دروز بلغراد: حكاية حنا يعقوب,2010-01-01,7465,1639,3.87,2141,2955,1767,453,149,Rabee Jaber (ربيع جابر),28,1383,دروز بلغراد - حكاية حنا يعقوب,Rabee Jaber (ربيع جابر),23,414,9256,2019-01-01, المركز الثقافي العربي، دار الآداب للنشر والتوزيع,239.0,Paperback,False,,Novels,Novels
7316340,اللاهوت العربي وأصول العنف الديني,2009-12-01,8008,1005,3.9,2478,3156,1704,455,215,Youssef Ziedan,40,1609,اللاهوت العربي وأصول العنف الديني,"Youssef Ziedan,يوسف زيدان",6,21,2593,2019-01-01, دار الشروق ,226.0,Paperback,False,,Philosophy,Philosophy
6315308,البخلاء,1969-01-20,3053,336,3.8,935,1005,789,226,98,الجاحظ,103,798,البخلاء,"الجاحظ,Al-Jahiz",66,429,7298,1969-01-20,دار الاسراء للنشر,259.0,Paperback,False,,Novels,Novels
2618660,حكومة الظل,2006-01-01,8542,1362,3.89,3039,2720,1881,601,301,Monther Alkabbani,9,2550,حكومة الظل,Monther Alkabbani,8,327,8131,2019-01-01, الدار العربية للعلوم- ناشرون,173.0,Paperback,False,,Novels,Novels
5853401-207,207,2008-01-01,8433,808,3.66,1903,2997,2544,743,246,أحمد خالد توفيق,553,293, 207,أحمد خالد توفيق,9,564,7943,2019-01-01, دايموند بوك,155.0,Paperback,False,,Novels,Novels
